2025-04-30 10:31:56 [INFO] onion_MainThread_1746023516: Registering with registry at localhost:5050
2025-04-30 10:31:56 [INFO] onion_MainThread_1746023516: Registered with registry
2025-04-30 10:31:56 [INFO] onion_MainThread_1746023516: Starting ENTRY router on localhost:5051
2025-04-30 10:32:02 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:32:12 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:32:22 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:32:32 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:32:42 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:32:52 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:33:02 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:33:12 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:33:22 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:33:32 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:33:41 [INFO] onion_MainThread_1746023516: Key exchange for session 3338d282-6453-4247-948c-518919f91600
2025-04-30 10:33:42 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:33:46 [INFO] onion_MainThread_1746023516: Key exchange for session b8300513-2c41-47e0-9aa4-4d3a7f993f1b
2025-04-30 10:33:52 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:34:02 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:34:12 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:34:22 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:34:32 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:34:42 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:34:52 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:35:02 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:35:12 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:35:22 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:35:32 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:35:42 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:35:52 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:36:02 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:36:12 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:36:22 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:36:32 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:36:42 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:36:52 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:37:02 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:37:12 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:37:23 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:37:33 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:37:43 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:37:53 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:38:03 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:38:13 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:38:23 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:38:33 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:38:43 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:38:53 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:39:03 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:39:13 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:39:23 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:39:33 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:39:43 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:39:53 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:40:03 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:40:13 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:40:23 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:40:33 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:40:43 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:40:53 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:41:03 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:41:13 [INFO] onion_MainThread_1746023516: Received Ping request
2025-04-30 10:41:23 [INFO] onion_MainThread_1746023516: Received Ping request
